,Binomial,Range_m,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range
1284,Euroscaptor klossi,668553019947.037,Euroscaptor,Talpidae,Eulipotyphla,80.33613646,759.1857213999999,LC,Insectivore,668553.019947037
1285,Euroscaptor longirostris,267778545470.177,Euroscaptor,Talpidae,Eulipotyphla,46.84098624,759.1857213999999,LC,Insectivore,267778.54547017696
1286,Euroscaptor micrura,38881711214.0464,Euroscaptor,Talpidae,Eulipotyphla,60.46,759.1857213999999,LC,Insectivore,38881.7112140464
1287,Euroscaptor mizura,15898036874.7783,Euroscaptor,Talpidae,Eulipotyphla,25.05,759.1857213999999,LC,Insectivore,15898.036874778301
1288,Euroscaptor parvidens,4751092691.951079,Euroscaptor,Talpidae,Eulipotyphla,51.90562179,759.1857213999999,DD,Insectivore,4751.092691951079
1289,Euryoryzomys emmonsae,240656618506.651,Euryoryzomys,Cricetidae,Rodentia,59.9882,589.3882991,DD,Omnivore,240656.61850665102
1290,Euryoryzomys lamia,122788959997.30301,Euryoryzomys,Cricetidae,Rodentia,60.5005,589.3882991,EN,Omnivore,122788.95999730301
1291,Euryoryzomys legatus,64154907615.1103,Euryoryzomys,Cricetidae,Rodentia,61.5005,589.3882991,LC,Omnivore,64154.9076151103
1292,Euryoryzomys macconnelli,4294868369799.62,Euryoryzomys,Cricetidae,Rodentia,62.245,589.3882991,LC,Omnivore,4294868.36979962
1293,Euryoryzomys nitidus,1303446660136.08,Euryoryzomys,Cricetidae,Rodentia,55.195,589.3882991,LC,Omnivore,1303446.66013608
1294,Euryoryzomys russatus,1009408819996.76,Euryoryzomys,Cricetidae,Rodentia,60.5,589.3882991,LC,Omnivore,1009408.81999676
1295,Euryzygomatomys spinosus,807543660559.129,Euryzygomatomys,Echimyidae,Rodentia,187.49,739.0095888999999,LC,Herbivore,807543.6605591291
1296,Exilisciurus concinnus,120457565768.53099,Exilisciurus,Sciuridae,Rodentia,27.72,1239.298869,LC,Omnivore,120457.565768531
1297,Exilisciurus exilis,692681060484.437,Exilisciurus,Sciuridae,Rodentia,21.75,1239.298869,DD,Omnivore,692681.060484437
1298,Exilisciurus whiteheadi,155450152131.236,Exilisciurus,Sciuridae,Rodentia,24.91,1239.298869,LC,Herbivore,155450.15213123598
1299,Falsistrellus affinis,352717551891.355,Falsistrellus,Vespertilionidae,Chiroptera,22.77,2051.6662079999996,LC,Insectivore,352717.551891355
1301,Falsistrellus mordax,126420496690.399,Falsistrellus,Vespertilionidae,Chiroptera,22.77,2051.6662079999996,DD,Insectivore,126420.496690399
1302,Falsistrellus petersi,28175725023.438,Falsistrellus,Vespertilionidae,Chiroptera,22.77,2051.6662079999996,DD,Insectivore,28175.725023437997
1303,Falsistrellus tasmaniensis,386354106635.091,Falsistrellus,Vespertilionidae,Chiroptera,22.54,2051.6662079999996,LC,Insectivore,386354.106635091
1304,Felis chaus,7003453049134.36,Felis,Felidae,Carnivora,7157.99,1903.782067,LC,Carnivore,7003453.04913436
1305,Felis silvestris,29179663482988.0,Felis,Felidae,Carnivora,4573.08,2905.4,LC,Carnivore,29179663.482988
1307,Feroculus feroculus,2647266107.23169,Feroculus,Soricidae,Eulipotyphla,35.99,379.2929563,EN,Omnivore,2647.2661072316896
1308,Fossa fossana,91103591309.7899,Fossa,Eupleridae,Carnivora,1853.98,2785.9588,VU,Insectivore,91103.5913097899
1309,Funambulus layardi,1276826392.33939,Funambulus,Sciuridae,Rodentia,168.0,1384.121263,VU,Omnivore,1276.8263923393902
1310,Funambulus palmarum,1263136903675.26,Funambulus,Sciuridae,Rodentia,136.4,1384.121263,LC,Omnivore,1263136.90367526
1311,Funambulus pennantii,2908289197870.53,Funambulus,Sciuridae,Rodentia,102.49,1384.121263,LC,Omnivore,2908289.19787053
1312,Funambulus sublineatus,28410718309.3891,Funambulus,Sciuridae,Rodentia,70.93,1239.298869,VU,Omnivore,28410.7183093891
1313,Funambulus tristriatus,79432069126.5506,Funambulus,Sciuridae,Rodentia,134.62,1384.121263,LC,Omnivore,79432.0691265506
1314,Funisciurus anerythrus,2279777204373.62,Funisciurus,Sciuridae,Rodentia,223.54,1384.121263,LC,Herbivore,2279777.20437362
1315,Funisciurus bayonii,385069492467.98206,Funisciurus,Sciuridae,Rodentia,134.99,1384.121263,DD,Herbivore,385069.49246798205
1316,Funisciurus carruthersi,93369079653.7718,Funisciurus,Sciuridae,Rodentia,276.85,1384.121263,LC,Herbivore,93369.0796537718
1317,Funisciurus congicus,1735003124651.9,Funisciurus,Sciuridae,Rodentia,112.0,1384.121263,LC,Herbivore,1735003.1246518998
1318,Funisciurus duchaillui,3488478420.26397,Funisciurus,Sciuridae,Rodentia,186.28777780000001,1384.121263,DD,Herbivore,3488.47842026397
1319,Funisciurus isabella,570175349184.772,Funisciurus,Sciuridae,Rodentia,109.31,1384.121263,LC,Herbivore,570175.349184772
1320,Funisciurus lemniscatus,610756519767.4,Funisciurus,Sciuridae,Rodentia,140.99,1384.121263,LC,Herbivore,610756.5197674
1321,Funisciurus leucogenys,411996766544.474,Funisciurus,Sciuridae,Rodentia,250.0,1384.121263,LC,Herbivore,411996.766544474
1322,Funisciurus pyrropus,2153132089629.56,Funisciurus,Sciuridae,Rodentia,243.18,1384.121263,LC,Herbivore,2153132.08962956
1323,Funisciurus substriatus,224767780453.75,Funisciurus,Sciuridae,Rodentia,185.73,1384.121263,DD,Herbivore,224767.78045375
1324,Furipterus horrens,9816319161437.48,Furipterus,Furipteridae,Chiroptera,3.15,2070.5310280000003,LC,Insectivore,9816319.16143748
1325,Galago gallarum,456007297350.285,Galago,Galagidae,Primates,250.0,1870.1919,LC,Omnivore,456007.297350285
1326,Galago matschiei,87132208407.4074,Galago,Galagidae,Primates,211.61,1870.1919,LC,Omnivore,87132.20840740741
1327,Galago moholi,4247265678066.12,Galago,Galagidae,Primates,191.96,1930.5215,LC,Omnivore,4247265.67806612
1328,Galago senegalensis,8388328002354.86,Galago,Galagidae,Primates,215.2,2167.5525,LC,Omnivore,8388328.00235486
1329,Galagoides cocos,7016580728.99249,Galagoides,Galagidae,Primates,146.8,1705.4042,LC,Omnivore,7016.580728992491
1330,Galagoides granti,521553377378.992,Galago,Galagidae,Primates,134.0,1870.1919,LC,Omnivore,521553.37737899204
1331,Galagoides orinus,19017640565.9509,Galagoides,Galagidae,Primates,100.0,1705.4042,NT,Omnivore,19017.6405659509
1332,Galagoides rondoensis,126803792.898619,Galagoides,Galagidae,Primates,111.92,1705.4042,CR,Omnivore,126.80379289861901
1333,Galagoides thomasi,4501161112667.24,Galagoides,Galagidae,Primates,99.0,1705.4042,LC,Omnivore,4501161.11266724
1334,Galagoides zanzibaricus,7100217503.668671,Galagoides,Galagidae,Primates,146.8,1705.4042,LC,Omnivore,7100.21750366867
1335,Galea flavidens,32759673741.9259,Galea,Caviidae,Rodentia,450.0,504.2578,LC,Herbivore,32759.673741925897
1336,Galea musteloides,320041842737.834,Galea,Caviidae,Rodentia,386.64,389.8012,DD,Herbivore,320041.84273783397
1337,Galea spixii,1699340102073.27,Galea,Caviidae,Rodentia,360.61,618.7144,LC,Herbivore,1699340.10207327
1338,Galemys pyrenaicus,163324675724.807,Galemys,Talpidae,Eulipotyphla,60.17,730.0,VU,Insectivore,163324.675724807
1339,Galenomys garleppi,19190785951.3106,Galenomys,Cricetidae,Rodentia,59.3,589.3882991,DD,Herbivore,19190.7859513106
1340,Galeopterus variegatus,1406441081565.97,Galeopterus,Cynocephalidae,Dermoptera,1100.0,2840.441639,LC,Herbivore,1406441.08156597
1341,Galictis cuja,7672212768857.37,Galictis,Mustelidae,Carnivora,1000.0,1261.998333,LC,Omnivore,7672212.76885737
