,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
159,Ammospermophilus nelsoni,16431.0503238317,160.42,RODENTIA,SCIURIDAE,Ammospermophilus,EN,Omnivore
161,Amorphochilus schnablii,178664.948164272,3.3,CHIROPTERA,FURIPTERIDAE,Amorphochilus,VU,Insectivore
162,Amphinectomys savamis,20833.0881378167,214,RODENTIA,CRICETIDAE,Amphinectomys,DD,Omnivore
163,Anathana ellioti,1366021.53540083,160,SCANDENTIA,TUPAIIDAE,Anathana,LC,Omnivore
164,Andalgalomys olrogi,57113.1241627112,32.9,RODENTIA,CRICETIDAE,Andalgalomys,LC,Omnivore
165,Andalgalomys pearsoni,139013.471360208,25.4,RODENTIA,CRICETIDAE,Andalgalomys,LC,Omnivore
166,Andinomys edax,228610.362808387,69.75,RODENTIA,CRICETIDAE,Andinomys,LC,Herbivore
167,Anisomys imitator,181683.115999811,510.5,RODENTIA,MURIDAE,Anisomys,LC,Herbivore
168,Anomalurus beecrofti,3245214.2762936,479.07,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore
169,Anomalurus derbianus,5752689.11921157,665.84,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore
170,Anomalurus pelii,242869.34173276,1769.99,RODENTIA,ANOMALURIDAE,Anomalurus,DD,Omnivore
171,Anomalurus pusillus,573137.595819465,250,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore
172,Anonymomys mindorensis,594.22891278888,141.0605074,RODENTIA,MURIDAE,Anonymomys,DD,Omnivore
173,Anotomys leander,12508.1708827796,66.39,RODENTIA,CRICETIDAE,Anotomys,VU,Insectivore
174,Anoura caudifer,5937896.455522,10.81,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore
175,Anoura cultrata,757488.717192454,17.39,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Herbivore
176,Anoura fistulata,77115.3989416346,14.6025,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,DD,Herbivore
177,Anoura geoffroyi,8205848.24521511,15.15,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Insectivore
178,Anoura latidens,710042.971181428,15.06,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore
179,Anoura luismanueli,80297.6973919499,14.6025,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore
180,Anourosorex assamensis,17604.5936879904,20,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Insectivore
181,Anourosorex schmidi,7900.24822671328,16.05244685,EULIPOTYPHLA,SORICIDAE,Anourosorex,DD,Insectivore
182,Anourosorex squamipes,1188959.44667064,20,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Insectivore
183,Anourosorex yamashinai,34157.0299482635,8.157340556,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Insectivore
