binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Antilocapra americana,2007736.6028278,47450.01,LC,Herbivore,CETARTIODACTYLA
Antilope cervicapra,1754050.80102145,36301.1,LC,Herbivore,CETARTIODACTYLA
Antrozous pallidus,4367598.17108691,22.24,LC,Insectivore,CHIROPTERA
Aonyx capensis,11817071.1334719,19322.22,NT,Insectivore,CARNIVORA
Aonyx congicus,2924429.88641855,23800.2,NT,Insectivore,CARNIVORA
Aotus azarae,3162911.56617956,929.57,LC,Omnivore,PRIMATES
Aotus brumbacki,123964.536996318,800,VU,Omnivore,PRIMATES
Aotus griseimembra,234087.461463686,966,VU,Omnivore,PRIMATES
Aotus jorgehernandezi,1186.23987112173,889.745,DD,Omnivore,PRIMATES
Aotus lemurinus,177191.578759668,865.96,VU,Omnivore,PRIMATES
Aotus miconax,59473.2926481231,800,VU,Omnivore,PRIMATES
Aotus nancymaae,492727.889875963,791.03,VU,Omnivore,PRIMATES
Aotus nigriceps,1548698.7917509,1057,LC,Omnivore,PRIMATES
Aotus trivirgatus,752044.697749503,912.4,LC,Omnivore,PRIMATES
Aotus vociferans,1016997.30541936,872.99,LC,Omnivore,PRIMATES
Aotus zonalis,154691.812086015,902.5,DD,Omnivore,PRIMATES
Aplodontia rufa,245471.869999823,806.21,LC,Herbivore,RODENTIA
Apodemus agrarius,11531274.7447623,21.11,LC,Omnivore,RODENTIA
Apodemus alpicola,110824.15607159,28.055,LC,Omnivore,RODENTIA
Apodemus argenteus,366528.074753249,15,LC,Omnivore,RODENTIA
Apodemus chevrieri,720401.612572801,32.9,LC,Herbivore,RODENTIA
Apodemus draco,1798566.2187351,22.25,LC,Omnivore,RODENTIA
Apodemus epimelas,174107.586797832,63.85388804,LC,Omnivore,RODENTIA
Apodemus flavicollis,6066721.93967364,31.6,LC,Herbivore,RODENTIA
Apodemus gurkha,12707.059532599,39.9,LC,Omnivore,RODENTIA
Apodemus hyrcanicus,48562.597874764,63.85388804,NT,Omnivore,RODENTIA
Apodemus latronum,536889.579054212,35.2,LC,Omnivore,RODENTIA
Apodemus mystacinus,804373.763156529,43.84,LC,Omnivore,RODENTIA
Apodemus pallipes,783330.335910119,63.85388804,LC,Omnivore,RODENTIA
Apodemus peninsulae,8904772.41303056,32.9,LC,Omnivore,RODENTIA
Apodemus ponticus,347630.589063924,26.7,LC,Omnivore,RODENTIA
Apodemus rusiges,112755.032336439,21.5,LC,Omnivore,RODENTIA
Apodemus semotus,33914.8967490851,25.77,LC,Omnivore,RODENTIA
Apodemus speciosus,368742.872132316,43.75,LC,Omnivore,RODENTIA
Apodemus sylvaticus,5002127.46548776,21.9,LC,Omnivore,RODENTIA
Apodemus uralensis,7246038.99580633,18.26,LC,Omnivore,RODENTIA
Apodemus witherbyi,1580976.99369415,20.66,LC,Omnivore,RODENTIA
Apomys abrae,12463.6428974061,34.88,LC,Omnivore,RODENTIA
Apomys camiguinensis,73.7155367340254,32.69125,VU,Omnivore,RODENTIA
Apomys datae,11591.3184199977,34.88,LC,Omnivore,RODENTIA
Apomys gracilirostris,571.340255324826,32.69125,LC,Omnivore,RODENTIA
Apomys hylocetes,4399.29348346999,34.88,LC,Omnivore,RODENTIA
Apomys insignis,94959.7321827179,34.88,LC,Omnivore,RODENTIA
Apomys littoralis,7898.75763878074,30.95,DD,Omnivore,RODENTIA
Apomys microdon,61956.3938563566,34.98,LC,Omnivore,RODENTIA
Apomys musculus,47774.0320045248,21.2,LC,Omnivore,RODENTIA
Apomys sacobianus,951.477061058665,34.88,LC,Omnivore,RODENTIA
Aproteles bulmerae,48.1553274876945,623.91,CR,Herbivore,CHIROPTERA
Arabitragus jayakari,31556.3994140674,23000,EN,Herbivore,CETARTIODACTYLA
Arborimus albipes,77753.3686222442,23,LC,Herbivore,RODENTIA
Arborimus longicaudus,54110.7666403978,22.39,NT,Herbivore,RODENTIA
Arborimus pomo,22003.977940837,32.49,NT,Herbivore,RODENTIA
Archboldomys luzonensis,22.211298209695,35.34,VU,Insectivore,RODENTIA
Arctictis binturong,2942897.25524419,12999.99,VU,Omnivore,CARNIVORA
Arctocebus aureus,667483.5506402,234.16,LC,Omnivore,PRIMATES
Arctocebus calabarensis,148437.984481801,258.01,LC,Omnivore,PRIMATES
Arctogalidia trivirgata,2539703.89842333,2323.79,LC,Omnivore,CARNIVORA
