,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
3626,Plerotes anchietae,796433.155311015,239.6283091,DD,Herbivore,CHIROPTERA
3627,Podogymnura aureospinula,1377.6219449963198,247.0,EN,Insectivore,EULIPOTYPHLA
3628,Podogymnura truei,5291.51435820985,114.0,LC,Insectivore,EULIPOTYPHLA
3629,Podomys floridanus,68826.6685046126,30.74,VU,Omnivore,RODENTIA
3630,Podoxymys roraimae,16615.078117747802,33.79,VU,Omnivore,RODENTIA
3631,Poecilogale albinucha,5663520.45190041,308.16,LC,Carnivore,CARNIVORA
3632,Poelagus marjorita,140675.443864174,2509.7,LC,Herbivore,LAGOMORPHA
3633,Pogonomelomys brassi,107405.50530769,135.595,LC,Omnivore,RODENTIA
3634,Pogonomelomys bruijnii,26888.3100390908,159.22,NT,Omnivore,RODENTIA
3635,Pogonomelomys mayeri,102263.734091337,111.97,LC,Omnivore,RODENTIA
3636,Pogonomys championi,220.673501617206,50.45,DD,Herbivore,RODENTIA
3637,Pogonomys fergussoniensis,2050.8190815758603,95.0,EN,Herbivore,RODENTIA
3638,Pogonomys loriae,151035.63069566598,95.39,LC,Herbivore,RODENTIA
3639,Pogonomys macrourus,317142.64169842604,46.98,LC,Herbivore,RODENTIA
3640,Pogonomys sylvestris,117161.339065742,41.67,LC,Herbivore,RODENTIA
3642,Poiana richardsonii,2017237.12366967,570.08,LC,Omnivore,CARNIVORA
3646,Potamochoerus larvatus,5881489.86392778,69063.79,LC,Herbivore,CETARTIODACTYLA
3647,Potamochoerus porcus,4799556.71581914,70000.31,LC,Herbivore,CETARTIODACTYLA
3648,Potamogale velox,3803856.976297,670.99,LC,Insectivore,AFROSORICIDA
3652,Potos flavus,12691109.230710499,2441.81,LC,Omnivore,CARNIVORA
3653,Praomys daltoni,3175732.07211279,34.99,LC,Omnivore,RODENTIA
3654,Praomys degraaffi,445.512405030987,42.58616146,VU,Omnivore,RODENTIA
3655,Praomys delectorum,56002.7836087743,35.99,LC,Omnivore,RODENTIA
3656,Praomys derooi,311595.623349774,32.0,LC,Omnivore,RODENTIA
3657,Praomys hartwigi,7809.653696822859,38.86,VU,Omnivore,RODENTIA
3658,Praomys jacksoni,3744052.12809366,39.01,LC,Herbivore,RODENTIA
3659,Praomys lukolelae,208467.113678184,42.2,LC,Omnivore,RODENTIA
3660,Praomys minor,8768.523844075151,42.58616146,LC,Omnivore,RODENTIA
3661,Praomys misonnei,144160.071732529,63.85388804,LC,Omnivore,RODENTIA
3662,Praomys morio,1343.90854240157,41.73,EN,Omnivore,RODENTIA
3663,Praomys mutoni,13380.9775291396,42.58616146,NT,Omnivore,RODENTIA
3664,Praomys obscurus,3123.2266885131603,38.86,EN,Omnivore,RODENTIA
3665,Praomys petteri,218482.88860019,42.58616146,LC,Omnivore,RODENTIA
3666,Praomys rostratus,607700.942434626,63.85388804,LC,Omnivore,RODENTIA
3667,Praomys tullbergi,932845.0221986859,37.1,LC,Omnivore,RODENTIA
3668,Praomys verschureni,155554.995719953,42.58616146,DD,Omnivore,RODENTIA
3670,Presbytis comata,27043.7299350969,6550.07,EN,Herbivore,PRIMATES
3671,Presbytis femoralis,148546.88200128,7026.91,NT,Herbivore,PRIMATES
3672,Presbytis frontata,312248.789372857,6096.6,VU,Herbivore,PRIMATES
3673,Presbytis hosei,246304.52812010003,6277.78,VU,Herbivore,PRIMATES
3674,Presbytis melalophos,289754.71618864697,6439.12,EN,Herbivore,PRIMATES
3675,Presbytis natunae,1643.70436159626,4920.0,VU,Herbivore,PRIMATES
3677,Presbytis rubicunda,503494.907440215,6348.53,LC,Herbivore,PRIMATES
3678,Presbytis siamensis,160647.489195742,5895.06,NT,Herbivore,PRIMATES
3679,Presbytis thomasi,60508.915499922194,6689.99,VU,Herbivore,PRIMATES
3680,Prionailurus bengalensis,9502920.53466738,2780.97,LC,Carnivore,CARNIVORA
3682,Prionailurus rubiginosus,2416028.97052863,1418.75,NT,Carnivore,CARNIVORA
3683,Prionailurus viverrinus,160288.526099305,8826.46,VU,Carnivore,CARNIVORA
3684,Prionodon linsang,1447867.95386012,684.83,LC,Carnivore,CARNIVORA
3685,Prionodon pardicolor,2342456.40651479,1142.68,LC,Carnivore,CARNIVORA
3686,Prionomys batesi,32246.638336033197,12.5,DD,Omnivore,RODENTIA
3690,Procavia capensis,15715542.3521759,2952.48,LC,Herbivore,HYRACOIDEA
3691,Procolobus verus,402051.938992005,3977.86,NT,Herbivore,PRIMATES
3692,Procyon cancrivorus,12754088.4945151,6931.72,LC,Insectivore,CARNIVORA
3695,Proechimys brevicauda,1460844.71116488,284.99,LC,Herbivore,RODENTIA
3696,Proechimys canicollis,32608.2311420759,312.57,LC,Herbivore,RODENTIA
3697,Proechimys chrysaeolus,36746.1123859161,284.99,DD,Herbivore,RODENTIA
3698,Proechimys cuvieri,3500125.38120301,339.85,LC,Herbivore,RODENTIA
3699,Proechimys decumanus,65536.942855703,284.99,NT,Herbivore,RODENTIA
3700,Proechimys echinothrix,277424.044054664,293.1955,LC,Herbivore,RODENTIA
3701,Proechimys gardneri,696523.258758125,293.1955,DD,Herbivore,RODENTIA
3702,Proechimys goeldii,1029773.2770612,284.99,LC,Herbivore,RODENTIA
3703,Proechimys guairae,329800.247505393,349.28,LC,Herbivore,RODENTIA
3704,Proechimys guyannensis,1497170.0280212,314.03,LC,Herbivore,RODENTIA
3705,Proechimys hoplomyoides,300583.948215248,284.99,DD,Herbivore,RODENTIA
3706,Proechimys kulinae,86615.2136598573,293.1955,DD,Herbivore,RODENTIA
3707,Proechimys longicaudatus,1349088.10916337,205.0,LC,Herbivore,RODENTIA
3708,Proechimys mincae,390.607118152427,284.99,DD,Herbivore,RODENTIA
3709,Proechimys oconnelli,22757.487894772403,284.99,DD,Herbivore,RODENTIA
3710,Proechimys pattoni,157595.734262494,293.1955,LC,Herbivore,RODENTIA
3711,Proechimys quadruplicatus,1498656.17580403,284.99,LC,Herbivore,RODENTIA
3712,Proechimys roberti,1703345.29686933,284.99,LC,Herbivore,RODENTIA
3713,Proechimys semispinosus,348118.047770095,353.32,LC,Herbivore,RODENTIA
3714,Proechimys simonsi,1935012.33123587,284.99,LC,Herbivore,RODENTIA
3715,Proechimys steerei,1677776.52171731,284.99,LC,Herbivore,RODENTIA
3716,Proedromys bedfordi,6663.94340468036,46.25861204,VU,Omnivore,RODENTIA
3717,Proedromys liangshanensis,4010.1492283473603,46.25861204,DD,Omnivore,RODENTIA
3718,Prolemur simus,1709.04238389002,2030.41,CR,Herbivore,PRIMATES
3719,Prometheomys schaposchnikowi,23671.9124050463,75.0,LC,Herbivore,RODENTIA
3720,Promops centralis,4618210.90666771,29.8,LC,Insectivore,CHIROPTERA
3721,Promops nasutus,8029235.88748888,15.5,LC,Insectivore,CHIROPTERA
3722,Pronolagus crassicaudatus,198444.31381476103,2415.27,LC,Herbivore,LAGOMORPHA
3723,Pronolagus randensis,626320.339135216,2376.47,LC,Herbivore,LAGOMORPHA
3724,Pronolagus rupestris,461340.91446592205,2249.99,LC,Herbivore,LAGOMORPHA
3725,Pronolagus saundersiae,522529.27822415205,2347.243333,LC,Herbivore,LAGOMORPHA
3726,Propithecus candidus,1692.88588348873,5750.0,CR,Herbivore,PRIMATES
3728,Propithecus coronatus,45278.195545659,5087.6475,EN,Herbivore,PRIMATES
3729,Propithecus deckenii,26066.854153253502,4000.0,EN,Herbivore,PRIMATES
3730,Propithecus diadema,16421.243926273703,6568.99,CR,Herbivore,PRIMATES
3731,Propithecus edwardsi,3073.3500349831297,6573.27,EN,Herbivore,PRIMATES
3734,Propithecus verreauxi,67832.485024966,3588.26,EN,Herbivore,PRIMATES
3735,Prosciurillus abstrusus,1530.6958423743697,246.43442569999996,DD,Herbivore,RODENTIA
3736,Prosciurillus leucomus,170594.237286155,246.43442569999996,DD,Herbivore,RODENTIA
3737,Prosciurillus murinus,127248.584053599,246.43442569999996,DD,Herbivore,RODENTIA
3738,Prosciurillus rosenbergii,555.947840482323,246.43442569999996,LC,Herbivore,RODENTIA
3739,Prosciurillus weberi,110133.75097418699,246.43442569999996,DD,Herbivore,RODENTIA
3740,Proteles cristata,5997315.1518029,8139.39,LC,Insectivore,CARNIVORA
3741,Protochromys fellowsi,22748.589316998397,78.99,LC,Herbivore,RODENTIA
3742,Protoxerus aubinnii,315507.134171967,427.94,DD,Herbivore,RODENTIA
3743,Protoxerus stangeri,3388918.62885362,630.43,LC,Herbivore,RODENTIA
3744,Psammomys obesus,2313613.92530957,102.15,LC,Herbivore,RODENTIA
3745,Psammomys vexillaris,135259.624298089,102.15,DD,Herbivore,RODENTIA
3747,Pseudantechinus macdonnellensis,895709.271515044,36.88,LC,Insectivore,DASYUROMORPHIA
3749,Pseudantechinus ningbing,208494.50193195802,20.74,LC,Insectivore,DASYUROMORPHIA
3750,Pseudantechinus roryi,398017.90018202603,28.18,LC,Insectivore,DASYUROMORPHIA
3751,Pseudantechinus woolleyae,645661.157127833,43.23,LC,Insectivore,DASYUROMORPHIA
3752,Pseudocheirus occidentalis,18007.8126310428,895.22,CR,Herbivore,DIPROTODONTIA
3753,Pseudocheirus peregrinus,913379.5368831841,895.22,LC,Herbivore,DIPROTODONTIA
3754,Pseudochirops albertisii,25738.5142170654,784.85,NT,Herbivore,DIPROTODONTIA
3755,Pseudochirops archeri,5210.848896268039,1145.92,LC,Herbivore,DIPROTODONTIA
3756,Pseudochirops corinnae,185300.97870650102,1123.0,NT,Herbivore,DIPROTODONTIA
3757,Pseudochirops coronatus,7454.749389409971,1395.85,VU,Herbivore,DIPROTODONTIA
3758,Pseudochirops cupreus,197734.76242086603,1764.08,LC,Herbivore,DIPROTODONTIA
3759,Pseudochirulus canescens,459129.800742831,300.0,LC,Herbivore,DIPROTODONTIA
3760,Pseudochirulus caroli,37928.032881874904,456.02,LC,Herbivore,DIPROTODONTIA
3762,Pseudochirulus forbesi,47168.02571995519,639.16,LC,Herbivore,DIPROTODONTIA
3763,Pseudochirulus herbertensis,3432.7612047643297,1098.34,LC,Herbivore,DIPROTODONTIA
3764,Pseudochirulus larvatus,121062.03791425,649.0,LC,Herbivore,DIPROTODONTIA
