,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
2976,Nesoryzomys swarthi,573.5974569219281,573.597457376185,105.0,VU,Omnivore,RODENTIA
2977,Nesotragus moschatus,1370858.3104412097,1370656.72786215,6499.0,LC,Herbivore,CETARTIODACTYLA
2978,Neurotrichus gibbsii,221366.12924802772,221364.52224678,9.56,LC,Omnivore,EULIPOTYPHLA
2979,Neusticomys ferreirai,278749.7497656689,683.1944152923829,42.72,DD,Insectivore,RODENTIA
2980,Neusticomys monticolus,65827.70829495857,65828.27057530089,39.5,LC,Insectivore,RODENTIA
2981,Neusticomys mussoi,19038.667344659727,19038.6673482193,40.0,EN,Insectivore,RODENTIA
2982,Neusticomys oyapocki,416604.5614539684,70806.7786275376,47.0,DD,Insectivore,RODENTIA
2983,Neusticomys peruviensis,14429.009633327805,14428.878881653101,40.0,LC,Insectivore,RODENTIA
2984,Neusticomys venezuelae,665702.8290864851,665777.6290449679,47.1,VU,Insectivore,RODENTIA
2985,Nilgiritragus hylocrius,2096.8341873473046,2096.8366445841602,75000.0,EN,Herbivore,CETARTIODACTYLA
2986,Ningaui ridei,2252143.9834489594,2252468.86436619,9.42,LC,Omnivore,DASYUROMORPHIA
2987,Ningaui timealeyi,250356.43100213844,250377.148348372,6.37,LC,Omnivore,DASYUROMORPHIA
2988,Ningaui yvonneae,308577.45835794316,308584.02646474,11.0,LC,Insectivore,DASYUROMORPHIA
2989,Niviventer andersoni,189408.7693318426,188299.343518518,147.0,LC,Omnivore,RODENTIA
2990,Niviventer brahma,32332.272884174843,32329.195725333397,97.3,LC,Omnivore,RODENTIA
2991,Niviventer cameroni,9974.68035785749,9974.680366684459,89.0,VU,Omnivore,RODENTIA
2992,Niviventer confucianus,3970066.2473622635,3971381.00709705,65.0,LC,Omnivore,RODENTIA
2993,Niviventer coninga,28365.708714167155,28365.6880256242,80.65,LC,Omnivore,RODENTIA
2994,Niviventer cremoriventer,1248371.268517753,1248372.60057034,71.54,LC,Omnivore,RODENTIA
2995,Niviventer culturatus,3736.753353354734,3736.75703038065,81.17,LC,Omnivore,RODENTIA
2996,Niviventer eha,183495.8525260385,183562.36431187397,53.6,LC,Omnivore,RODENTIA
2997,Niviventer excelsior,150797.03078558284,150624.336817989,102.0,LC,Omnivore,RODENTIA
2998,Niviventer fraternus,111954.42702463649,111954.43400139999,89.0,LC,Omnivore,RODENTIA
2999,Niviventer fulvescens,4719942.634259191,4720378.41924532,81.79,LC,Omnivore,RODENTIA
3000,Niviventer hinpoon,2928.9218269585613,2929.08465265534,87.21125,EN,Omnivore,RODENTIA
3001,Niviventer langbianis,632439.4813404033,632381.326769991,69.8,LC,Omnivore,RODENTIA
3002,Niviventer lepturus,7576.823305734409,7576.82109534795,84.8,LC,Omnivore,RODENTIA
3003,Niviventer niviventer,252938.9736907263,252993.530551065,100.0,LC,Omnivore,RODENTIA
3004,Niviventer rapit,250763.40122305104,250763.403288943,79.73,LC,Omnivore,RODENTIA
3005,Niviventer tenaster,266057.2579498543,266057.264325918,103.0,LC,Omnivore,RODENTIA
3006,Noctilio albiventris,12853878.52357085,12855674.662238,31.46,LC,Insectivore,CHIROPTERA
3007,Noctilio leporinus,14625254.661604777,14625648.175796801,29.93,LC,Insectivore,CHIROPTERA
3008,Nomascus concolor,26324.339048016944,26325.6011742121,6410.47,CR,Herbivore,PRIMATES
3009,Nomascus gabriellae,94853.08670056274,94852.81830339789,8500.0,EN,Herbivore,PRIMATES
3010,Nomascus hainanus,164.9726560417707,164.971896073353,7790.0,CR,Herbivore,PRIMATES
3011,Nomascus leucogenys,26500.076809569324,26500.9806034895,7320.0,CR,Herbivore,PRIMATES
3012,Nomascus nasutus,8311.908394950597,8311.901799464109,7124.094,CR,Herbivore,PRIMATES
3013,Nomascus siki,26549.391855680024,26549.048419322997,5600.0,EN,Herbivore,PRIMATES
3014,Notiomys edwardsii,267119.73477186036,267121.195709398,21.3,LC,Insectivore,RODENTIA
3015,Notiosorex cockrumi,66252.4506749267,66204.0362641495,5.035,LC,Insectivore,EULIPOTYPHLA
3016,Notiosorex crawfordi,2165524.323447626,2165720.11168005,4.79,LC,Insectivore,EULIPOTYPHLA
3017,Notiosorex evotis,89136.75143390524,89137.1828835384,5.28,LC,Insectivore,EULIPOTYPHLA
3018,Notiosorex villai,6040.405971916173,6041.06940989843,5.035,VU,Insectivore,EULIPOTYPHLA
3019,Notomys alexis,2927622.25209192,2927727.84049717,32.34,LC,Herbivore,RODENTIA
3020,Notomys aquilo,2283.390771632985,2283.39217701814,38.99,EN,Herbivore,RODENTIA
3021,Notomys cervinus,83792.48497727574,83793.8653114895,34.79,NT,Herbivore,RODENTIA
3022,Notomys fuscus,105460.82650263485,105460.257620039,39.28,VU,Herbivore,RODENTIA
3023,Notomys mitchellii,647604.3131879199,646728.270437575,42.8,LC,Herbivore,RODENTIA
3024,Notopteris macdonaldi,19268.554139867214,19271.2384460765,68.17,VU,Herbivore,CHIROPTERA
3025,Notopteris neocaledonica,267.1149776735268,10800.5339058173,68.17,VU,Herbivore,CHIROPTERA
3026,Notoryctes caurinus,451248.9001300874,451197.152125074,40.0,LC,Omnivore,NOTORYCTEMORPHIA
3027,Notoryctes typhlops,921468.1162234466,921390.4186388759,55.0,LC,Insectivore,NOTORYCTEMORPHIA
3028,Nyctalus aviator,846196.0601120135,695997.66364404,28.97666667,NT,Insectivore,CHIROPTERA
3029,Nyctalus azoreum,2237.3380443233978,2237.3332581446602,28.97666667,VU,Insectivore,CHIROPTERA
3030,Nyctalus furvus,14425.06156202407,14423.3985344946,28.97666667,VU,Insectivore,CHIROPTERA
3031,Nyctalus lasiopterus,2917487.550156783,2917518.39640384,45.98,VU,Insectivore,CHIROPTERA
3032,Nyctalus leisleri,5171245.820280526,5171402.53804184,12.47,LC,Insectivore,CHIROPTERA
3033,Nyctalus montanus,123572.28699078619,210275.728143038,28.97666667,LC,Insectivore,CHIROPTERA
3034,Nyctalus noctula,7209770.529719745,7210075.74404434,28.48,LC,Carnivore,CHIROPTERA
3035,Nyctalus plancyi,1915785.106065853,1916955.26516621,28.97666667,LC,Insectivore,CHIROPTERA
3036,Nyctereutes procyonoides,11540724.075057063,6241893.3223803,4214.99,LC,Omnivore,CARNIVORA
3037,Nycteris arge,3979107.3574601207,3980019.71252141,10.79,LC,Insectivore,CHIROPTERA
3038,Nycteris aurita,1789398.376357717,1789430.2402284,13.07636364,LC,Insectivore,CHIROPTERA
3039,Nycteris gambiensis,1860700.1725710558,1860729.11436775,7.13,LC,Insectivore,CHIROPTERA
3040,Nycteris grandis,4404270.786150287,4404362.03017875,29.8,LC,Carnivore,CHIROPTERA
3041,Nycteris hispida,11505139.001678614,11506141.1561831,7.98,LC,Insectivore,CHIROPTERA
3042,Nycteris intermedia,2618814.331195564,2619651.29273532,13.07636364,LC,Insectivore,CHIROPTERA
3043,Nycteris javanica,135481.06092143003,135481.034235326,17.78,VU,Insectivore,CHIROPTERA
