,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
2919,Nelsonia neotomodon,77262.35427775055,24594.317425455,80.0,NT,Herbivore,RODENTIA
2920,Neodon forresti,8416.621015573339,8416.93966340548,43.09423936,DD,Herbivore,RODENTIA
2921,Neodon irene,635021.4713398884,635022.111203379,46.25861204,LC,Herbivore,RODENTIA
2922,Neodon juldaschi,311848.9823339337,311957.621963789,37.76509979,LC,Herbivore,RODENTIA
2923,Neodon sikimensis,159934.0920922157,159982.372786389,45.25900624,LC,Herbivore,RODENTIA
2924,Neofelis diardi,510006.3922511753,510006.384690234,22500.0,VU,Carnivore,CARNIVORA
2925,Neofelis nebulosa,1901750.9106006126,1902159.79796239,14945.05,VU,Carnivore,CARNIVORA
2926,Neofiber alleni,119930.47639303107,119935.19561927301,265.38,LC,Herbivore,RODENTIA
2927,Neohylomys hainanensis,4593.515690525594,4593.31014732895,52.21,EN,Omnivore,EULIPOTYPHLA
2928,Neomys anomalus,3282079.22611535,3282589.30907598,13.19,LC,Insectivore,EULIPOTYPHLA
2929,Neomys fodiens,13064959.883525345,13089593.8655024,15.26,LC,Insectivore,EULIPOTYPHLA
2930,Neomys teres,252211.12854300122,252150.27255016897,12.854000000000001,LC,Insectivore,EULIPOTYPHLA
