Intercept,BM,I_BM_2,I_BM_3,DietHerbivore,DietOmnivore,NPP,I_NPP_2,Pwq,I_Pwq_2,Pcv,I_Pcv_2
2.363948586,1.158878911,-0.516917728,0.05101366,NA,NA,-0.068789983,NA,NA,NA,-0.007326036,2.40104844842471E-05
2.00509731,1.149320679,-0.516082074,0.050936979,NA,NA,-0.071551593,NA,0.000302218,NA,NA,NA
2.322063117,1.130583764,-0.510452546,0.050448356,NA,NA,-0.10410986,NA,0.000707637,-3.62803819697198E-07,NA,NA
2.760022262,1.136809025,-0.511236603,0.050532245,NA,NA,-0.120042661,NA,0.000386162,-1.66987832431844E-07,-0.003403868,NA
2.75941923,1.143143616,-0.513399238,0.050765777,NA,NA,-0.11162338,NA,0.000371278,-1.53900888304026E-07,-0.006881694,2.34174709595462E-05
2.634992127,1.145533083,-0.513807073,0.050755756,NA,NA,-0.106199649,NA,0.000195709,NA,-0.00352448,NA
2.644336901,1.151366177,-0.515826478,0.050977904,NA,NA,-0.098676688,NA,0.000195742,NA,-0.00708072,2.40112051387877E-05
1.473971325,1.144724046,-0.511963381,0.050567683,NA,NA,NA,NA,NA,NA,-0.003607272,NA
1.577280782,1.151930076,-0.514456631,0.050831325,NA,NA,NA,NA,NA,NA,-0.007449134,2.58254510944926E-05
1.19781055,1.143604006,-0.513783604,0.050755225,NA,NA,NA,NA,0.000263311,NA,NA,NA
1.16075353,1.127729909,-0.508812677,0.050329418,NA,NA,NA,NA,0.000549023,-2.67299434327201E-07,NA,NA
1.414776958,1.132972454,-0.509126268,0.050374951,NA,NA,NA,NA,0.000211178,-6.17931012775625E-08,-0.003329015,NA
1.520068855,1.140458389,-0.51174305,0.050651599,NA,NA,NA,NA,0.000208244,-5.53919529795805E-08,-0.007244038,2.63237483312389E-05
1.426642013,1.136826372,-0.510306437,0.050476067,NA,NA,NA,NA,0.000143213,NA,-0.00338059,NA
1.531043309,1.143978792,-0.51282006,0.050743979,NA,NA,NA,NA,0.00014733,NA,-0.007304537,2.64196442957258E-05
2.786436569,-0.432624042,0.013246497,NA,NA,NA,-0.016643711,NA,NA,NA,NA,NA
-51.90424474,-0.428389847,0.013435061,NA,NA,NA,9.791245013,-0.438892105,NA,NA,NA,NA
-57.81415868,-0.429369336,0.014616937,NA,NA,NA,10.96328993,-0.494240813,NA,NA,-0.004349744,NA
-57.12340543,-0.430004323,0.014765347,NA,NA,NA,10.8445245,-0.488748885,NA,NA,-0.006172994,1.23478546793233E-05
-54.47979045,-0.439939203,0.014908813,NA,NA,NA,10.30284708,-0.464616044,0.000370861,NA,NA,NA
-54.92344369,-0.44391193,0.015554658,NA,NA,NA,10.40857643,-0.471087182,0.000855502,-4.3279362673264E-07,NA,NA
-59.18879475,-0.439948751,0.015861159,NA,NA,NA,11.24595251,-0.509416236,0.000497978,-2.13804279548852E-07,-0.003893384,NA
-58.55815906,-0.440467569,0.015987822,NA,NA,NA,11.13717016,-0.504359705,0.000490019,-2.0726982257768E-07,-0.005555103,1.12169027266474E-05
-59.14464426,-0.437798023,0.015561449,NA,NA,NA,11.228383,-0.507836198,0.000253814,NA,-0.004046186,NA
-58.46689018,-0.438413488,0.015705124,NA,NA,NA,11.11178205,-0.502441582,0.000253273,NA,-0.00582716,1.20561608085889E-05
3.651889929,-0.433780544,0.014175141,NA,NA,NA,-0.073569117,NA,NA,NA,-0.003786854,NA
3.666786925,-0.434912014,0.014462147,NA,NA,NA,-0.06623564,NA,NA,NA,-0.007252152,2.33938486631293E-05
3.307975778,-0.442419669,0.014451324,NA,NA,NA,-0.068934649,NA,0.000305014,NA,NA,NA
3.625422656,-0.445813903,0.014996908,NA,NA,NA,-0.102963935,NA,0.000728754,-3.79312281470305E-07,NA,NA
4.065147875,-0.442289891,0.015166562,NA,NA,NA,-0.118931282,NA,0.000406992,-1.83578814005107E-07,-0.003405029,NA
4.070879124,-0.443317049,0.015429409,NA,NA,NA,-0.110764426,NA,0.000392645,-1.70951170937357E-07,-0.006782981,2.27407158137824E-05
3.934359421,-0.440482463,0.014912836,NA,NA,NA,-0.103720615,NA,0.000197664,NA,-0.003537676,NA
3.949433345,-0.441644837,0.015199588,NA,NA,NA,-0.096391729,NA,0.000197708,NA,-0.007003616,2.33968241489143E-05
2.79637281,-0.434504856,0.014687055,NA,NA,NA,NA,NA,NA,NA,-0.00362969,NA
2.904019521,-0.435641885,0.014939358,NA,NA,NA,NA,NA,NA,NA,-0.007370152,2.51385805906337E-05
2.524818316,-0.441955992,0.014780178,NA,NA,NA,NA,NA,0.000267531,NA,NA,NA
2.472783015,-0.44433303,0.015313691,NA,NA,NA,NA,NA,0.00057209,-2.85017231427208E-07,NA,NA
2.726943808,-0.440437719,0.01553589,NA,NA,NA,NA,NA,0.00023391,-7.95614396948614E-08,-0.00333069,NA
2.836860109,-0.441724117,0.015801867,NA,NA,NA,NA,NA,0.000231143,-7.34019210342765E-08,-0.007141389,2.56174559390626E-05
2.745773576,-0.439657027,0.015387838,NA,NA,NA,NA,NA,0.000146425,NA,-0.003397134,NA
2.8547519,-0.44099507,0.015665111,NA,NA,NA,NA,NA,0.000150447,NA,-0.007221721,2.57455175122714E-05
2.664171102,-0.340732144,NA,NA,NA,NA,-0.01749296,NA,NA,NA,NA,NA
-51.99816636,-0.335310037,NA,NA,NA,NA,9.785045775,-0.438652403,NA,NA,NA,NA
-57.90706832,-0.328039394,NA,NA,NA,NA,10.95463581,-0.493889017,NA,NA,-0.004343108,NA
-57.22434994,-0.327637281,NA,NA,NA,NA,10.83700373,-0.488449831,NA,NA,-0.006147958,1.22234580124083E-05
-54.57137298,-0.336630756,NA,NA,NA,NA,10.2934316,-0.46422112,0.000368946,NA,NA,NA
-55.01592519,-0.336123325,NA,NA,NA,NA,10.39804683,-0.470633133,0.000850723,-4.30280937170962E-07,NA,NA
-59.28022156,-0.329951035,NA,NA,NA,NA,11.23457628,-0.508923835,0.000493527,-2.11525355907147E-07,-0.003890064,NA
-58.65729496,-0.329608636,NA,NA,NA,NA,11.12692037,-0.50391997,0.000485626,-2.05045836232372E-07,-0.00553386,1.1095809533112E-05
-59.23465291,-0.329881001,NA,NA,NA,NA,11.21737641,-0.507368403,0.000251989,NA,-0.004041311,NA
-58.56513592,-0.32951869,NA,NA,NA,NA,11.1019632,-0.502029124,0.000251442,NA,-0.005803365,1.1928072023899E-05
3.519154668,-0.335377897,NA,NA,NA,NA,-0.074364621,NA,NA,NA,-0.003780895,NA
3.53132687,-0.334530292,NA,NA,NA,NA,-0.067088277,NA,NA,NA,-0.007226456,2.32608465658461E-05
3.171267329,-0.342132356,NA,NA,NA,NA,-0.06953056,NA,0.000303185,NA,NA,NA
3.481523889,-0.341734919,NA,NA,NA,NA,-0.103366191,NA,0.000724259,-3.76961394149629E-07,NA,NA
3.91899536,-0.336972082,NA,NA,NA,NA,-0.119322863,NA,0.000402779,-1.81430933624788E-07,-0.003402455,NA
3.922224569,-0.336187993,NA,NA,NA,NA,-0.111211422,NA,0.000388454,-1.68844445107457E-07,-0.006760813,2.26086025007888E-05
3.79214788,-0.336926377,NA,NA,NA,NA,-0.104282066,NA,0.000195918,NA,-0.003533606,NA
3.804462801,-0.336113431,NA,NA,NA,NA,-0.097008118,NA,0.000195935,NA,-0.006979058,2.3258482730555E-05
2.649173607,-0.332506365,NA,NA,NA,NA,NA,NA,NA,NA,-0.00362179,NA
2.753859886,-0.331906207,NA,NA,NA,NA,NA,NA,NA,NA,-0.007345184,2.5024142324942E-05
2.378017795,-0.339355592,NA,NA,NA,NA,NA,NA,0.000265347,NA,NA,NA
2.321196169,-0.338034939,NA,NA,NA,NA,NA,NA,0.000566939,-2.82285656560517E-07,NA,NA
2.572658884,-0.332533047,NA,NA,NA,NA,NA,NA,0.000229081,-7.70597640765641E-08,-0.003327776,NA
2.679462682,-0.331987885,NA,NA,NA,NA,NA,NA,0.000226251,-7.08882828422769E-08,-0.007120045,2.54932907296768E-05
2.592332272,-0.332773395,NA,NA,NA,NA,NA,NA,0.00014436,NA,-0.003392166,NA
2.698064798,-0.332200776,NA,NA,NA,NA,NA,NA,0.000148331,NA,-0.007197791,2.56178472160588E-05
1.470671203,NA,NA,NA,-0.288888972,-0.186997034,NA,NA,NA,NA,NA,NA
1.493589375,NA,NA,NA,-0.288988291,-0.187054643,-0.002001298,NA,NA,NA,NA,NA
-54.33409461,NA,NA,NA,-0.288474224,-0.183108755,10.01388042,-0.448247975,NA,NA,NA,NA
-60.30464641,NA,NA,NA,-0.280298938,-0.172152019,11.20064598,-0.504331607,NA,NA,-0.004448242,NA
-59.51075768,NA,NA,NA,-0.2815254,-0.172695521,11.06426152,-0.498028526,NA,NA,-0.006537583,1.41490440821618E-05
-57.00922663,NA,NA,NA,-0.287465786,-0.168703,10.54078218,-0.474735418,0.000380474,NA,NA,NA
-57.43631184,NA,NA,NA,-0.284215142,-0.167348868,10.64233501,-0.48101868,0.000866484,-4.34174554804857E-07,NA,NA
-61.71516464,NA,NA,NA,-0.278506979,-0.16225064,11.48595274,-0.519632765,0.000497647,-2.09671135302124E-07,-0.003981581,NA
-60.98277883,NA,NA,NA,-0.279679012,-0.162786345,11.35972131,-0.513767464,0.000488124,-2.01934380245372E-07,-0.005904252,1.29751174642037E-05
-61.67753696,NA,NA,NA,-0.279873777,-0.162744502,11.47050248,-0.518165868,0.000258141,NA,-0.004132594,NA
-60.89794277,NA,NA,NA,-0.281067837,-0.163295341,11.336474,-0.511967942,0.000257405,NA,-0.006173258,1.38119754873983E-05
2.383166387,NA,NA,NA,-0.281977041,-0.177960636,-0.060350246,NA,NA,NA,-0.003874381,NA
