Binomial,Range_km_2_old,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,pop_density,label
Macropus eugenii,14879.4054664262,5278.48,LC,Herbivore,33541.0196624969,2.25419085044618,Entire range
Macropus irma,152879.44996836,8000,LC,Herbivore,33541.0196624969,0.219395214134002,Entire range
Macrotis lagotis,1077479.5480748,1229.58,VU,Herbivore,11618.9500386223,0.010783452975402,Entire range
Madoqua guentheri,1270987.09731536,4623.7,LC,Herbivore,511000,0.402049714807774,Entire range
Madoqua kirkii,1336496.83794007,4833.4,LC,Herbivore,971000,0.726526223209472,Entire range
Madoqua piacentinii,56979.3484691146,2500,NA,Herbivore,30000,0.526506546775651,Entire range
Madoqua saltiana,1098767.26978426,3424.47,LC,Herbivore,485600,0.441949822636549,Entire range
Marmota caudata,547910.242500489,4350,LC,Herbivore,600000,1.09506987360154,Entire range
Marmota menzbieri,2790.42722027787,3250,VU,Herbivore,22000,7.88409740276588,Entire range
Marmota olympus,5368.55661787667,6299.99,LC,Herbivore,4242.64068711928,0.790275857945091,Entire range
Marmota vancouverensis,2075.02121148846,5232.43,CR,Herbivore,108.16653826392,0.052127919302728,Entire range
Martes gwatkinsii,30613.0263082874,2038.49,VU,Omnivore,1500,0.048998749254461,Entire range
Mastacomys fuscus,62933.0661913331,125.72,NT,Herbivore,67082.0393249937,1.0659267597267,Entire range
Mazama bororo,19498.6330790573,18335.81714,VU,Herbivore,12750,0.653891990700326,Entire range
Mesembriomys gouldii,237211.175760961,716.49,VU,Omnivore,45000,0.189704384102656,Entire range
Mesocapromys auritus,83.0126827169791,1533.200179,EN,Omnivore,1334.91572767722,16.0808648026524,Entire range
Microcebus berthae,546.444861883062,33.45,EN,Omnivore,12000,21.9601296252429,Entire range
Microtus abbreviatus,329.121431231776,66.06,LC,Herbivore,465530.820461975,1414.46522859259,Entire range
Microtus breweri,1.89492690406442,54,VU,Herbivore,5477.22557505167,2890.46799816056,Entire range
Microtus tatricus,18330.8933405179,40,LC,Herbivore,223606.797749979,12.1983579084892,Entire range
Mirza zaza,9803.19303065608,326.5,EN,Insectivore,54117.9267895583,5.52043876115907,Entire range
Muntiacus crinifrons,113889.540854352,18590.01,VU,Herbivore,7713.62431027076,0.067728996468037,Entire range
Mustela felipei,57459.898351403,211.3,VU,Carnivore,2000,0.034806883711641,Entire range
Myotis grisescens,853015.925472626,10.84,NT,Insectivore,2000000,2.34462211111928,Entire range
Myotis planiceps,12295.1770420058,9.597169811,EN,Insectivore,360,0.029279773586837,Entire range
Myrmecobius fasciatus,1128.01036910752,511.44,EN,Insectivore,1200,1.06382000809925,Entire range
Myzopoda aurita,107290.249959933,9.1,LC,Insectivore,172867.226948892,1.61121096291087,Entire range
Myzopoda schliemanni,36338.9856378039,9.1,LC,Insectivore,136437.491649107,3.75457622865426,Entire range
Nanger dama,204791.993367749,71424.81,CR,Herbivore,212.132034355963,0.001035841445105,Entire range
Nanger soemmerringii,290635.22042267,41582.93,VU,Herbivore,6708.20393249937,0.02308118032888,Entire range
Neofelis diardi,510006.384690234,22500,VU,Carnivore,6750,0.013235128427068,Entire range
Neotragus batesi,802403.340648131,2967.45,LC,Herbivore,219000,0.272930070085583,Entire range
Neotragus pygmaeus,443521.673009673,3913.68,LC,Herbivore,62000,0.139790237485526,Entire range
Nesotragus moschatus,1370656.72786215,6499,LC,Herbivore,365000,0.266295705248754,Entire range
Nilgiritragus hylocrius,2096.83664458416,75000,EN,Herbivore,1897.36659610103,0.904870964078993,Entire range
Nomascus concolor,26325.6011742121,6410.47,CR,Herbivore,1612.45154965971,0.061250322034022,Entire range
Nomascus hainanus,164.971896073353,7790,CR,Herbivore,20,0.121232770405374,Entire range
Nomascus nasutus,8311.90179946411,7124.094,CR,Herbivore,68.9836937254016,0.008299387479512,Entire range
Notomys aquilo,2283.39217701814,38.99,EN,Herbivore,15000,6.56917377179961,Entire range
Notomys cervinus,83793.8653114895,34.79,NT,Herbivore,28460.4989415154,0.339648956826593,Entire range
Notoryctes typhlops,921390.418638876,55,LC,Insectivore,47434.1649025257,0.051481070285708,Entire range
Nyctalus azoreum,2237.33325814466,28.97666667,VU,Insectivore,3162.27766016838,1.41341378118642,Entire range
Ochotona iliensis,32973.3741777238,165,EN,Herbivore,1000,0.030327499836992,Entire range
Okapia johnstoni,264220.212685383,230001.1,EN,Herbivore,41833.0013267037,0.158326272246688,Entire range
Onychogalea fraenata,848.876560774641,4952.05,VU,Herbivore,1407.12472794703,1.65763173701364,Entire range
Oreamnos americanus,801852.339187708,72105.4,LC,Herbivore,97570.4873412038,0.12168136522498,Entire range
Oreotragus oreotragus,5218047.64890264,13486.55,LC,Herbivore,42000,0.008048987442426,Entire range
Ornithorhynchus anatinus,900539.932255984,1484.25,NT,Insectivore,103308.705,0.114718627458525,Entire range
Oryx beisa,1048624.70529928,200576.5,NT,Herbivore,47021.27,0.044840894709399,Entire range
Oryx gazella,1766026.91909201,188404.5,LC,Herbivore,373000,0.211208558582887,Entire range
Oryx leucoryx,20909.9452219544,75788.24,VU,Herbivore,1220,0.058345442183132,Entire range
Otocolobus manul,2321211.06170126,3500,NT,Carnivore,20500,0.008831596720453,Entire range
Ourebia ourebi,7496162.12577986,17186.09,LC,Herbivore,750000,0.100051197855059,Entire range
Ovibos moschatus,1591570.60726189,312500,LC,Herbivore,203108.537833839,0.127615160085963,Entire range
Ovis ammon,3583607.69074678,113998.7,NT,Herbivore,93186.6943291799,0.026003598153279,Entire range
Ovis canadensis,532974.923966456,74644.87,LC,Herbivore,62900,0.118016809368613,Entire range
Ovis dalli,816225.065559673,70194.13,LC,Herbivore,113972.584422746,0.139633771654141,Entire range
Ovis nivicola,1369345.47057524,90000,LC,Herbivore,89861.0037780572,0.065623325675666,Entire range
Ozotoceros bezoarticus,468420.532032221,34620.4,NT,Herbivore,40000,0.085393353332447,Entire range
Pan troglodytes,2314277.94913039,45000,EN,Herbivore,402678.531834018,0.173997480287676,Entire range
Panthera leo,1690496.59649912,158623.9,VU,Carnivore,32000,0.018929348965428,Entire range
Panthera onca,9026158.26285303,83943.09,NT,Carnivore,64000,0.007090502751696,Entire range
Panthera tigris,704328.500749519,161914.7,EN,Carnivore,3912.81145725168,0.005555378567086,Entire range
Panthera uncia,3006497.02502128,41000,VU,Carnivore,7500,0.002494597512514,Entire range
Pantholops hodgsonii,1091078.31645566,32733.12,NT,Herbivore,225000,0.206218010757383,Entire range
Parantechinus apicalis,2721.88622718201,71.31,EN,Insectivore,1050,0.385761899051554,Entire range
Pelea capreolus,557077.542006304,22731.33,NT,Herbivore,18000,0.032311480256722,Entire range
Pentalagus furnessi,370.201150094973,2253.25,EN,Herbivore,5000,13.5061708984893,Entire range
Perameles bougainville,89.1200060501315,230.8,VU,Omnivore,3354.10196624968,37.6357915007652,Entire range
Perameles gunnii,31989.7082649322,903.46,VU,Omnivore,37723.005,1.17922316413722,Entire range
Peromyscus mekisturus,98.5660414020877,59.99,CR,Omnivore,10.6066017177982,0.107609086932181,Entire range
Petauroides volans,633491.264568611,1257.17,VU,Herbivore,237170.824512629,0.374386890203033,Entire range
Petaurus australis,231711.032060867,567.15,NT,Omnivore,237170.824512629,1.02356293700478,Entire range
Petrogale concinna,82698.6876694336,1398.2,EN,Herbivore,10606.6017177982,0.128255985877253,Entire range
Petrogale godmani,36293.7937943184,4750,NT,Herbivore,15000,0.41329380127652,Entire range
Petrogale lateralis,112824.105547161,4567.88,VU,Herbivore,10954.4511501033,0.097093179662074,Entire range
Petrogale mareeba,19944.2132746447,4644.155385,NT,Herbivore,15000,0.75209785382057,Entire range
Petrogale penicillata,101649.674097244,6931.6,VU,Herbivore,21213.2034355964,0.208689340364266,Entire range
Petrogale purpureicollis,80361.1554311243,4500,NT,Herbivore,12500,0.155547788392782,Entire range
Petrogale sharmani,16921.7116445296,4644.155385,VU,Herbivore,800,0.047276541333726,Entire range
Phalanger matanim,153.144784037706,1442.38,CR,Omnivore,60,0.391786115191669,Entire range
Phascogale tapoatafa,272010.809938636,192.65,NT,Omnivore,22500,0.082717300849462,Entire range
