binomial,estimated_pop,AdultBodyMassG,estimated_mass,pop_density,Range
Anomalurus pusillus,3245251.88645804,250,0.000811312971615,5.66223336896699,573139.903460054
Anonymomys mindorensis,3757.79685806948,141.0605074,5.30076731505406E-07,6.32379616077734,594.231180533112
Anotomys leander,128207.517734641,66.39,8.51169710240282E-06,10.249858921661,12508.2226706263
Anoura caudifer,89522410.2074832,10.81,0.000967737254343,15.0697772436642,5940526.44309135
Anoura cultrata,11205385.2443214,17.39,0.000194861649399,14.7925869521796,757500.042456767
Anoura fistulata,1070310.98224669,14.6025,1.56292161182573E-05,49.126807953482,21786.6990922789
Anoura geoffroyi,133982323.931153,15.15,0.002029832207557,16.3304846544337,8204430.35012912
Anoura latidens,9175919.78951439,15.06,0.00013818935203,12.9230136405143,710044.889277794
Anoura luismanueli,1069474.30712769,14.6025,1.5616998569832E-05,12.6475663021091,84559.6916894077
Anourosorex assamensis,253217.066164765,20,5.0643413232953E-06,14.3840092471054,17604.0672537611
Anourosorex schmidi,106219.120837789,16.05244685,1.70507679170233E-06,13.445035862237,7900.24823482442
Anourosorex squamipes,14166014.5932391,20,0.000283320291865,11.9140379825109,1189018.75367813
Anourosorex yamashinai,1350101.15445576,8.157340556,1.10132349019444E-05,39.5263117067412,34157.0234144944
Antechinomys laniger,67082.0393249937,25.57,1.71528774554009E-06,0.027510581829913,2438408.59999749
Antechinus adustus,36117.8525559307,30.5,1.10159450295588E-06,7.34062324383468,4920.27057597129
Antechinus agilis,250095.197261392,22.13,5.53460671539459E-06,1.5281858199455,163654.965251746
Antechinus bellus,37723.002890488,38.73,1.4610119019486E-06,1.83318629891731,20577.8337492308
Antechinus flavipes,831925.159687072,44.33,3.68792423289279E-05,0.8246407867928,1008833.38904762
Antechinus godmani,15273.9645634885,75.74,1.15685007603862E-06,4.24333181495343,3599.52160933145
Antechinus leo,78404.4877021326,70.09,5.49537054304247E-06,17.8466977163911,4393.22102879139
Antechinus minimus,141830.635693047,52.56,7.45461821202653E-06,1.85944697603963,76275.7085954267
Antechinus stuartii,211207.088232061,29.01,6.12711762961209E-06,1.78479563366409,118336.847226853
Antechinus subtropicus,179275.525169742,46.86444444,8.40164788876922E-06,18.6394838987537,9618.05198810944
Antechinus swainsonii,441479.851819002,58.69,2.59104525032572E-05,1.40472063182931,314283.026685584
Anthops ornatus,1171628.65881826,19.66146341,2.30359340054626E-05,55.0193384072673,21294.8518236545
Antidorcas marsupialis,2236067.97749979,33571.24,0.07506757472896,1.14669396778385,1950012.8546253
Antilocapra americana,1000000,47450.01,0.04745001,0.498073302340331,2007736.6028278
Antilope cervicapra,93600,36301.1,0.00190580775,0.053362194496017,1754050.80102145
